Model,beta_bii_loss,SE,p_value,N,Sig.
Pooled OLS,7.726006827494513,3.8907937900746496,0.048006503773033726,292,**
FE (entity),-29.799271889596838,16.760207596255484,0.07658075909981221,292,*
FE (entity + time),-31.455720095163564,19.31965328789815,0.1047529880451672,292,
Random Effects,3.327579219931181,3.9966680108212316,0.405762055032997,292,
FE - historical only,-28.753676939759327,15.80049235420009,0.07175210452525094,134,*
FE - excl. IRL & BRA,-32.198199762331726,19.276603207720107,0.09616404535021661,270,*
FE - balanced (>=8 yrs),-20.548920570861007,16.638434173989346,0.21809152565662027,253,
