iso3,country,year,uk_import_qty_t,log_uk_import_qty_t,bii,bii_loss,bio_source
ARG,Argentina,2010,1959.0,7.580699752224563,0.725216865539551,0.274783134460449,historical
ARG,Argentina,2011,1322.0,7.187657164114956,0.723645925521851,0.27635407447814897,historical
ARG,Argentina,2012,1182.0,7.075808863978387,0.72132420539856,0.27867579460144,historical
ARG,Argentina,2013,314.0,5.752572638825633,0.715945065021515,0.284054934978485,historical
ARG,Argentina,2014,58.4,4.084294226368599,0.711266756057739,0.28873324394226096,historical
ARG,Argentina,2015,23.91,3.215269329274089,0.708773732185364,0.291226267814636,ssp2_projected
ARG,Argentina,2016,22.79,3.1692653243148663,0.708488166332245,0.291511833667755,ssp2_projected
AUS,Australia,2010,7.0,2.0794415416798357,0.699317038059235,0.30068296194076505,historical
AUS,Australia,2011,13.0,2.6390573296152584,0.693440496921539,0.306559503078461,historical
AUS,Australia,2012,3.0,1.3862943611198906,0.694918692111969,0.305081307888031,historical
AUT,Austria,2011,17.0,2.8903717578961645,0.721503019332886,0.27849698066711404,historical
AUT,Austria,2012,138.0,4.9344739331306915,0.722662448883057,0.277337551116943,historical
AUT,Austria,2013,101.0,4.624972813284271,0.723044335842133,0.276955664157867,historical
AUT,Austria,2014,16.8,2.8791984572980396,0.723715484142303,0.276284515857697,historical
AUT,Austria,2015,4.5,1.7047480922384253,0.724824070930481,0.27517592906951904,ssp2_projected
AUT,Austria,2016,2.8,1.33500106673234,0.724763929843903,0.27523607015609697,ssp2_projected
AUT,Austria,2017,0.5,0.4054651081081644,0.725967705249786,0.27403229475021396,ssp2_projected
AUT,Austria,2018,0.05,0.04879016416943201,0.725576460361481,0.27442353963851895,ssp2_projected
AUT,Austria,2019,0.05,0.04879016416943201,0.726073503494263,0.27392649650573697,ssp2_projected
AUT,Austria,2020,1.17,0.7747271675523681,0.72623747587204,0.27376252412796,ssp2_projected
BEL,Belgium,2010,1140.0,7.039660349862076,0.635179936885834,0.36482006311416604,historical
BEL,Belgium,2011,1089.0,6.993932975223189,0.637298345565796,0.362701654434204,historical
BEL,Belgium,2012,649.0,6.476972362889683,0.642101883888245,0.35789811611175504,historical
BEL,Belgium,2013,972.0,6.880384082186005,0.642827212810516,0.357172787189484,historical
BEL,Belgium,2014,1177.4,7.071912865148421,0.645656108856201,0.35434389114379905,historical
BEL,Belgium,2015,3109.9,8.042667352375865,0.649132311344147,0.35086768865585305,ssp2_projected
BEL,Belgium,2016,578.2,6.361647841071506,0.647586762905121,0.35241323709487904,ssp2_projected
BEL,Belgium,2017,716.61,6.575926245987513,0.645785093307495,0.354214906692505,ssp2_projected
BEL,Belgium,2018,968.44,6.876718585196679,0.643899023532867,0.356100976467133,ssp2_projected
BEL,Belgium,2019,1063.21,6.969988018848058,0.641279220581055,0.358720779418945,ssp2_projected
BEL,Belgium,2020,630.53,6.448145446600416,0.638174474239349,0.36182552576065097,ssp2_projected
BGR,Bulgaria,2010,2.0,1.0986122886681098,0.726798534393311,0.273201465606689,historical
BGR,Bulgaria,2011,2.0,1.0986122886681098,0.724581241607666,0.275418758392334,historical
BGR,Bulgaria,2012,3.0,1.3862943611198906,0.722194015979767,0.27780598402023304,historical
BGR,Bulgaria,2013,2.0,1.0986122886681098,0.721978425979614,0.27802157402038596,historical
BGR,Bulgaria,2014,12.0,2.5649493574615367,0.719276070594788,0.28072392940521196,historical
BGR,Bulgaria,2015,15.5,2.803360380906535,0.718085885047913,0.28191411495208696,ssp2_projected
BGR,Bulgaria,2016,23.32,3.1912990570979662,0.718116939067841,0.281883060932159,ssp2_projected
BGR,Bulgaria,2017,40.21,3.718680945350726,0.718257904052734,0.28174209594726596,ssp2_projected
BGR,Bulgaria,2018,34.44,3.56784112573688,0.718299925327301,0.281700074672699,ssp2_projected
BGR,Bulgaria,2019,36.25,3.6176519448255684,0.718600451946259,0.281399548053741,ssp2_projected
BGR,Bulgaria,2020,28.96,3.3998631586490187,0.718447744846344,0.281552255153656,ssp2_projected
BRA,Brazil,2010,42473.0,10.656647403002244,0.772108793258667,0.227891206741333,historical
BRA,Brazil,2011,33210.0,10.410636425329677,0.769985854625702,0.23001414537429798,historical
BRA,Brazil,2012,32680.0,10.394549148260978,0.769350051879883,0.23064994812011697,historical
BRA,Brazil,2013,30756.0,10.333872889604516,0.765368223190308,0.23463177680969205,historical
BRA,Brazil,2014,30324.15,10.319732680213868,0.762259125709534,0.23774087429046598,historical
