scenario,bii,year,iso3,bii_loss
ssp4rcp6p0gcam,0.759762704372406,2044,BWA,0.240237295627594
ssp4rcp6p0gcam,0.553172588348389,2044,LSO,0.446827411651611
ssp4rcp6p0gcam,0.623727381229401,2044,ZAF,0.37627261877059903
ssp4rcp6p0gcam,0.986022651195526,2044,PNG,0.013977348804473988
ssp4rcp6p0gcam,0.716595232486725,2044,COL,0.28340476751327504
ssp4rcp6p0gcam,0.789611399173737,2044,ECU,0.21038860082626298
ssp4rcp6p0gcam,0.893539607524872,2044,PER,0.10646039247512795
ssp4rcp6p0gcam,0.313319444656372,2044,URY,0.6866805553436279
ssp4rcp6p0gcam,0.856685996055603,2044,BLZ,0.14331400394439697
ssp4rcp6p0gcam,0.616668283939362,2044,NIC,0.383331716060638
ssp4rcp6p0gcam,0.344223141670227,2044,SLV,0.655776858329773
ssp4rcp6p0gcam,0.948004066944122,2044,CUW,0.05199593305587802
ssp4rcp6p0gcam,0.511391937732697,2044,PRI,0.488608062267303
ssp4rcp6p0gcam,0.58486795425415,2044,LKA,0.41513204574585005
ssp4rcp6p0gcam,0.94048410654068,2044,BRN,0.05951589345931996
ssp4rcp6p0gcam,0.588325381278992,2044,TLS,0.41167461872100797
ssp4rcp6p0gcam,0.696485459804535,2044,ARM,0.303514540195465
ssp4rcp6p0gcam,1.0,2044,CYP,0.0
ssp4rcp6p0gcam,0.744634211063385,2044,TUR,0.255365788936615
ssp4rcp6p0gcam,0.722236931324005,2044,BIH,0.277763068675995
ssp4rcp6p0gcam,0.662914574146271,2044,GRC,0.337085425853729
ssp4rcp6p0gcam,0.690704226493835,2044,ITA,0.309295773506165
ssp4rcp6p0gcam,0.688008010387421,2044,MKD,0.311991989612579
ssp4rcp6p0gcam,0.776218354701996,2044,PRT,0.22378164529800404
ssp4rcp6p0gcam,0.741119801998138,2044,BGR,0.258880198001862
ssp4rcp6p0gcam,0.677439332008362,2044,SVK,0.32256066799163796
ssp4rcp6p0gcam,0.878900647163391,2044,ALA,0.121099352836609
ssp4rcp6p0gcam,0.868230819702148,2044,SJM,0.131769180297852
ssp4rcp6p0gcam,0.760912299156189,2044,AUT,0.23908770084381104
ssp4rcp6p0gcam,0.670826077461243,2044,CHE,0.329173922538757
ssp4rcp6p0gcam,0.633833885192871,2044,NLD,0.366166114807129
ssp4rcp6p0gcam,0.991555631160736,2045,LBY,0.008444368839264027
ssp4rcp6p0gcam,0.743807256221771,2045,MAR,0.256192743778229
ssp4rcp6p0gcam,0.682508766651154,2045,SDN,0.317491233348846
ssp4rcp6p0gcam,0.893491744995117,2045,MRT,0.10650825500488303
ssp4rcp6p0gcam,0.758051097393036,2045,SEN,0.241948902606964
ssp4rcp6p0gcam,0.396686106920242,2045,SLE,0.603313893079758
ssp4rcp6p0gcam,0.615830898284912,2045,COM,0.384169101715088
ssp4rcp6p0gcam,0.68563050031662,2045,KEN,0.31436949968338
ssp4rcp6p0gcam,0.602046847343445,2045,MWI,0.39795315265655495
ssp4rcp6p0gcam,0.415942013263702,2045,RWA,0.584057986736298
ssp4rcp6p0gcam,0.70011579990387,2045,TZA,0.29988420009613004
ssp4rcp6p0gcam,0.468300640583038,2045,UGA,0.531699359416962
ssp4rcp6p0gcam,0.840465247631073,2045,COD,0.159534752368927
ssp4rcp6p0gcam,0.710886120796204,2045,COG,0.28911387920379605
ssp4rcp6p0gcam,0.603317022323608,2045,NZL,0.39668297767639205
ssp4rcp6p0gcam,0.985976099967957,2045,PNG,0.014023900032043013
ssp4rcp6p0gcam,0.949653208255768,2045,VUT,0.050346791744231956
ssp4rcp6p0gcam,0.990547955036163,2045,WSM,0.009452044963837003
ssp4rcp6p0gcam,0.900111675262451,2045,CAN,0.09988832473754905
ssp4rcp6p0gcam,0.687591969966888,2045,USA,0.312408030033112
