iso3,year,bii,crops,highintensityag,hpd,pastureland,qualitynatural,urbanextent
ABW,1970,,0.0098574822768569,,,0.009856785647571,,0.0097121577709913
ABW,1980,,0.0098574822768569,,,0.009857197292149,,0.0110866129398346
ABW,1990,,0.0098574822768569,,,0.0098573807626962,,0.0118471998721361
ABW,2000,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2001,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2002,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2003,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2004,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2005,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2006,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2007,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2008,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2009,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2010,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2011,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2012,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2013,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
ABW,2014,,0.0098574822768569,,,0.0098574813455343,,0.0153049724176526
AFG,1970,0.76144552230835,0.123989835381508,0.0459674373269081,20.7968940734863,0.46326744556427,0.399172812700272,0.0002148089697584
AFG,1980,0.761734962463379,0.124643541872501,0.0478795021772385,23.8135776519775,0.463273137807846,0.39616671204567,0.0003284554986748
AFG,1990,0.757128596305847,0.124581836163998,0.0474012494087219,20.9944553375244,0.463696748018265,0.393817991018295,0.000339648744557
AFG,2000,0.768022298812866,0.120159931480885,0.0512555129826069,34.6852340698242,0.464422225952148,0.391811311244965,0.0005710881086997
AFG,2001,0.768482267856598,0.120185300707817,0.051530983299017,35.9233932495117,0.464473634958267,0.391491830348969,0.0005954345688223
