iso3,country,year,export_qty_t,log_export_qty_t,bii,crops,highintensityag,hpd,pastureland,qualitynatural,urbanextent
ARG,Argentina,2010,1959.0,7.580699752224563,0.725216865539551,0.136699840426445,0.0807053595781326,15.924054145813,0.389048904180527,0.315501838922501,0.0019313365919515
ARG,Argentina,2011,1322.0,7.187657164114956,0.723645925521851,0.139683544635773,0.0806792229413986,16.0550441741943,0.389052301645279,0.316245138645172,0.0019321363652125
ARG,Argentina,2012,1182.0,7.075808863978387,0.72132420539856,0.144121497869492,0.080564558506012,16.1859378814697,0.389053821563721,0.31616684794426,0.0019329412607476
ARG,Argentina,2013,314.0,5.752572638825633,0.715945065021515,0.153797686100006,0.0802896767854691,16.3099899291992,0.389604598283768,0.312734454870224,0.0019339069258421
ARG,Argentina,2014,58.4,4.084294226368599,0.711266756057739,0.163553059101105,0.080051876604557,16.4416637420654,0.388617783784866,0.3100206553936,0.0019349489593878
AUS,Australia,2010,7.0,2.0794415416798357,0.699317038059235,0.0549501702189445,0.058539979159832,2.6940610408783,0.432242840528488,0.435608893632889,0.0011622617021203
AUS,Australia,2011,13.0,2.6390573296152584,0.693440496921539,0.0614851415157318,0.0650993958115578,2.73939847946167,0.438225507736206,0.431880682706833,0.0011867909925058
AUS,Australia,2012,3.0,1.3862943611198906,0.694918692111969,0.0607370212674141,0.0644016191363335,2.7847785949707,0.434587746858597,0.431821316480637,0.0012116859434172
AUT,Austria,2011,17.0,2.8903717578961645,0.721503019332886,0.169584274291992,0.195555716753006,106.157554626465,0.201102793216705,0.481943905353546,0.0139968916773796
AUT,Austria,2012,138.0,4.9344739331306915,0.722662448883057,0.168704584240913,0.194693252444267,106.467475891113,0.200818926095963,0.483511656522751,0.0141230989247561
AUT,Austria,2013,101.0,4.624972813284271,0.723044335842133,0.16827005147934,0.194486707448959,106.776359558105,0.201126605272293,0.48495215177536,0.0142487762495875
AUT,Austria,2014,16.8,2.8791984572980396,0.723715484142303,0.167546182870865,0.194102063775063,107.14054107666,0.201459765434265,0.486501663923264,0.0143710961565375
BEL,Belgium,2010,1140.0,7.039660349862076,0.635179936885834,0.277562886476517,0.334249943494797,446.130035400391,0.168047621846199,0.357137411832809,0.0904165729880333
BEL,Belgium,2011,1089.0,6.993932975223189,0.637298345565796,0.274475425481796,0.331197619438171,448.685211181641,0.168015286326408,0.357660919427872,0.0909596085548401
BEL,Belgium,2012,649.0,6.476972362889683,0.642101883888245,0.268172085285187,0.324885904788971,451.242492675781,0.16786302626133,0.358158469200134,0.0915230736136436
BEL,Belgium,2013,972.0,6.880384082186005,0.642827212810516,0.266914814710617,0.323596030473709,453.560180664062,0.167737185955048,0.358660012483597,0.092054046690464
BEL,Belgium,2014,1177.4,7.071912865148421,0.645656108856201,0.263052523136139,0.319735586643219,455.891662597656,0.167611911892891,0.35915607213974,0.0926257595419884
BGR,Bulgaria,2010,2.0,1.0986122886681098,0.726798534393311,0.309696286916733,0.112123101949692,62.7059097290039,0.157376274466515,0.397889405488968,0.0071973353624343
BGR,Bulgaria,2011,2.0,1.0986122886681098,0.724581241607666,0.314403057098389,0.112905748188496,62.3178939819336,0.15534420311451,0.396397203207016,0.0072115925140678
BGR,Bulgaria,2012,3.0,1.3862943611198906,0.722194015979767,0.319618791341782,0.113755129277706,61.9299812316895,0.152835711836815,0.394761502742767,0.0072237700223922
BGR,Bulgaria,2013,2.0,1.0986122886681098,0.721978425979614,0.323442578315735,0.113816186785698,61.528923034668,0.148446351289749,0.394613564014435,0.007231478113681
BGR,Bulgaria,2014,12.0,2.5649493574615367,0.719276070594788,0.328292667865753,0.114707551896572,61.1445465087891,0.147183582186699,0.392760276794434,0.0072437250055372
BHR,Bahrain,2014,0.17,0.15700374880966475,1.0,0.0192786268889904,0.0225720927119255,3173.318359375,0.0186041090637445,0.423261880874634,0.0163896698504686
BRA,Brazil,2010,42473.0,10.656647403002244,0.772108793258667,0.0905357971787453,0.0646679997444153,19.3024291992188,0.229472562670708,0.598314523696899,0.0032697620335966
BRA,Brazil,2011,33210.0,10.410636425329677,0.769985854625702,0.0927689447999001,0.0654984340071678,19.4361000061035,0.229480981826782,0.594622790813446,0.0033415544312447
BRA,Brazil,2012,32680.0,10.394549148260978,0.769350051879883,0.0930460020899773,0.0655486658215523,19.5696601867676,0.229456916451454,0.593384683132172,0.0034147924743592
BRA,Brazil,2013,30756.0,10.333872889604516,0.765368223190308,0.0988027825951576,0.0677243545651436,19.670431137085,0.229473203420639,0.588438451290131,0.0034809971693903
